loyalty_number,churned,churn_prob,risk_bucket,cluster_label,rfm_segment,clv,behavioral_clv,priority_score,priority_rank,nudge_type,mechanism,channel,timing,subject_line,message_frame,be_principle,success_kpi,expected_lift,priority_tier
100550,0,0.008588819,Low (<25%),Moderate Risk,Champions,7861.8,7794.276422785801,66.94362943127472,7071.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
100585,0,0.020098403,Low (<25%),Moderate Risk,Needs Attention,7334.33,6249.49711297827,125.6049115239738,4869.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
100590,0,0.004877229,Low (<25%),Loyal Champions,Recent Low-Freq,34090.04,33923.77506830084,165.45401955259385,3994.0,Social Proof + Tier Preview,Social proof + anticipated reward,App notification + monthly email digest,"Monthly, timed to post-flight (within 48h of landing)",You flew more than 91% of members this month,"You are in the top 10% of active members this quarter. At your current pace, you will reach the next tier in 7 months. Here is what unlocks when you get there.",Social proof reinforces behaviour; tier preview creates anticipatory reward,Maintained flight frequency + tier upgrade within 6 months,15-20% increase in booking rate post-notification,TIER 3 — automated monthly
100642,0,0.00692996,Low (<25%),Moderate Risk,Recent Low-Freq,4892.63,4858.7242698052005,33.67076484077925,9215.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
100644,0,0.0065631736,Low (<25%),Moderate Risk,Hibernating,4458.11,3851.1744783844383,25.275926665526516,10071.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
100646,0,0.004375472,Low (<25%),Moderate Risk,Recent Low-Freq,2471.53,2460.7158896878404,10.766793475284237,11857.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
100727,0,0.0016990005,Low (<25%),Moderate Risk,Loyal,3873.65,3867.068666713175,6.570151598280018,12508.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
100737,0,0.01415803,Low (<25%),Moderate Risk,Champions,12786.67,12605.6359425399,178.47097184355815,3763.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
100753,0,0.0027483734,Low (<25%),Moderate Risk,Loyal,2534.31,2527.344769808646,6.9460871379712055,12457.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
100816,0,0.05368238,Low (<25%),Moderate Risk,Lost,6273.91,4094.5597098580697,219.8057102772906,3153.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
100853,0,0.051334303,Low (<25%),Moderate Risk,Hibernating,10153.89,8376.214899227245,429.98715363004584,1664.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
100883,0,0.03514312,Low (<25%),Moderate Risk,Recent Low-Freq,3561.04,3435.8939439552,120.74803317969086,5006.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
100890,0,0.07389947,Low (<25%),Moderate Risk,Lost,8007.4,5704.351833786153,421.5485772103248,1696.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
101018,0,0.0035463097,Low (<25%),Moderate Risk,Loyal,4392.98,4377.401132414094,15.523620096671085,11189.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
101148,0,0.0050790296,Low (<25%),Moderate Risk,Recent Low-Freq,4770.55,4746.32023534172,24.106700966379563,10194.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
101363,0,0.012963239,Low (<25%),Moderate Risk,Recent Low-Freq,12898.59,12731.382495066991,165.03995408396972,3998.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
101487,0,0.004158198,Low (<25%),Moderate Risk,Needs Attention,14024.36,12144.386029823238,50.498761700438926,7965.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
101515,0,0.0559245,Low (<25%),Moderate Risk,Hibernating,7737.27,5618.897726065385,314.2340458813436,2268.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
101540,0,0.008481786,Low (<25%),Moderate Risk,Recent Low-Freq,2688.88,2666.07349526032,22.61306484707005,10339.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
101544,0,0.009036196,Low (<25%),Moderate Risk,Champions,24249.34,24030.21821088936,217.1417616763656,3183.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
101547,0,0.20957759,Low (<25%),Moderate Risk,Lost,5619.69,3416.868394809923,716.0990435314321,875.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
101581,0,0.018010726,Low (<25%),Moderate Risk,Hibernating,4595.46,3924.080373126992,70.67553640236802,6875.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
101594,0,0.01313344,Low (<25%),Moderate Risk,Loyal,5205.75,5137.38059472,67.47147979791943,7038.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
101663,0,0.032046024,Low (<25%),Moderate Risk,Loyal,5129.74,4965.35222884624,159.11979669406008,4115.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
101664,0,0.019551894,Low (<25%),Moderate Risk,Recent Low-Freq,9002.41,8826.39583393546,172.5727557471477,3867.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
101709,0,0.026880978,Low (<25%),Moderate Risk,Champions,8396.61,8170.900911315421,219.64180763724977,3155.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
101876,1,0.91859734,Critical (>75%),Moderate Risk,Recent Low-Freq,4949.53,402.9049077497998,370.1073765319115,1938.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
101895,0,0.47828734,Medium (25-50%),Moderate Risk,Hibernating,24543.2,7316.856089663999,3499.5596362881956,26.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
101902,0,0.0041415743,Low (<25%),Moderate Risk,Champions,6265.34,6239.391628875239,25.840904017784823,10009.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
101945,0,0.0021445132,Low (<25%),Moderate Risk,Loyal,4202.66,4193.647340154888,8.993332077107047,12119.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
102168,0,0.036855686,Low (<25%),Moderate Risk,Recent Low-Freq,7166.34,6902.21962319076,254.38603913535695,2785.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
102184,0,0.016616132,Low (<25%),Moderate Risk,Hibernating,4923.18,3724.1352240463384,61.88072246860353,7350.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
102207,0,0.011531421,Low (<25%),Moderate Risk,Recent Low-Freq,6960.92,6880.65070093268,79.34367998639982,6455.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
102299,0,0.00883464,Low (<25%),Moderate Risk,Loyal,2089.34,2070.8814332624,18.29549194555733,10854.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
102311,0,0.002723792,Low (<25%),Moderate Risk,Champions,7507.46,7487.011240511681,20.393061320815793,10606.0,Points Redemption Nudge,Endowment effect — make unredeemed points feel owned,Email,60 days before points expiry or quarterly,"Your 69,801 points are waiting for you","You have 69,801 points — here are 3 ways to use them before they expire. Members who redeem at least once per year are 2x more likely to stay active long-term.","Endowment + loss aversion: the points feel already owned, spending them feels safe rather than wasteful",Points redemption event within 30 days,40% redemption rate vs 12% with no nudge,TIER 3 — automated trigger on expiry window
102376,0,0.05060928,Low (<25%),Loyal Champions,Recent Low-Freq,12765.78,12119.7130655616,613.3699520546654,1100.0,Social Proof + Tier Preview,Social proof + anticipated reward,App notification + monthly email digest,"Monthly, timed to post-flight (within 48h of landing)",You flew more than 91% of members this month,"You are in the top 10% of active members this quarter. At your current pace, you will reach the next tier in 7 months. Here is what unlocks when you get there.",Social proof reinforces behaviour; tier preview creates anticipatory reward,Maintained flight frequency + tier upgrade within 6 months,15-20% increase in booking rate post-notification,TIER 3 — automated monthly
102464,0,0.0544654,Low (<25%),Moderate Risk,Lost,2725.68,1982.480575790769,107.97659755267456,5404.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
102726,0,0.08697867,Low (<25%),Moderate Risk,Recent Low-Freq,8044.87,7345.1379070771,638.8703261241496,1035.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
102730,0,0.024525877,Low (<25%),Moderate Risk,Recent Low-Freq,2453.57,2393.39404396911,58.70008793491899,7518.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
102788,0,0.0030968676,Low (<25%),Loyal Champions,Hibernating,11124.21,9643.269386500351,29.863928521124812,9604.0,Social Proof + Tier Preview,Social proof + anticipated reward,App notification + monthly email digest,"Monthly, timed to post-flight (within 48h of landing)",You flew more than 91% of members this month,"You are in the top 10% of active members this quarter. At your current pace, you will reach the next tier in 7 months. Here is what unlocks when you get there.",Social proof reinforces behaviour; tier preview creates anticipatory reward,Maintained flight frequency + tier upgrade within 6 months,15-20% increase in booking rate post-notification,TIER 3 — automated monthly
102851,0,0.029704884,Low (<25%),Moderate Risk,Champions,19435.63,18858.29686538308,560.183520823768,1228.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
102877,0,0.0026418085,Low (<25%),Moderate Risk,Loyal,2863.04,2855.47639659216,7.54362181606654,12371.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
102982,0,0.21358041,Low (<25%),Moderate Risk,Recent Low-Freq,5235.57,4117.354812816299,879.3863290367784,641.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
103151,0,0.08245887,Low (<25%),Moderate Risk,Hibernating,32613.69,18702.751235043565,1542.2077327327968,218.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
103217,0,0.028521787,Low (<25%),Moderate Risk,Hibernating,6439.33,5439.71200114547,155.15030703801486,4192.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
103304,0,0.012214632,Low (<25%),Moderate Risk,Needs Attention,2683.47,2304.9499143190956,28.15411498183928,9760.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
103340,0,0.0065454105,Low (<25%),Moderate Risk,Needs Attention,7577.07,6545.630405619796,42.84383798606307,8481.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
103359,0,0.021807393,Low (<25%),Moderate Risk,Loyal,4502.87,4404.67414428209,96.05446010129825,5822.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
103436,0,0.009901213,Low (<25%),Moderate Risk,Loyal,5015.01,4965.35531779287,49.1630406221499,8058.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
103490,0,0.010466967,Low (<25%),Moderate Risk,Champions,17651.96,17467.19751719468,182.82857999495863,3694.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
103502,0,0.09253921,Low (<25%),Moderate Risk,Hibernating,2580.85,2036.5392868447825,188.45973673857955,3602.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
103536,0,0.0003158811,Low (<25%),Moderate Risk,Champions,9202.64,9199.733059953896,2.906021798684602,13108.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
